id,title,album,artist_name,genre,year,length,bitrate,lyrics,album_id,artist_id
3060,Whatever Turns You On,Nights (Feel Like Getting Down),Billy Ocean,Soul,1981,377991,192000,,1097,481
3061,Wait for It,NINE,Samantha Jade,Dance,2015,194429,320000,,122,150
3062,Wait for It,Nine,Samantha Jade,Pop,2015,194429,126911,,122,150
3063,Marvin Gaye (feat. Meghan Train,Nine Track Mind,Charlie Puth,R&B,2015,190578,128000,,744,93
3064,D.O.A.,No Ceilings,Lil Wayne,Hip-Hop,2009,274602,256000,,289,238
3065,My Name Is,No Ceilings 2,Lil Wayne,Hip-Hop,2015,216978,320000,,290,238
3066,What Are You Waiting For,No Fixed Address,Nickelback,Rock,2014,219036,320000,,1029,597
3067,One More Time,No Labels,Akon,R&B,2011,241008,320000,,656,469
3068,Man on a Wire,No Sound Without Silence,The Script,Alternative Rock,2014,252518,320000,,55,26
3069,RunAn Island,Non-Fiction,Ne-Yo,R&B,2015,216996,320000,,857,543
3070,Turn Me On (ft Nicki Minaj),Nothing But the Beat,David Guetta,House,2011,199706,259082,,378,54
3071,Started From The Bottom,Nothing Was The Same,Drake,Hip-Hop,2013,174150,320000,,206,184
3072,Young Love,Now And Forever,Air Supply,R&B,1982,234802,128000,,648,412
3073,Young Love,Now And Forever,Air Supply,R&B,1982,234802,128000,,648,412
3074,When I'm Lovin' You,"NV, Fast (Gt)",Kem,Smooth Jazz,2000,204919,48000,,1082,620
3075,The Melody,"NV, Fast (P)",Nteeze Andy,Smooth Jazz,2000,440215,96006,,1083,626
3076,Because Of You (Ne-Yo),"NV, Fast (Sx)",Eric Darius,Smooth Jazz,2000,270410,48000,,1084,629
3077,After The Love Is Gone,"NV, Slow (Gt)",Norman Brown,Smooth Jazz,2000,319294,96008,,1085,617
3078,Because You Loved Me,"NV, Slow (P)",Kirk Whalum,Smooth Jazz,2000,595111,48000,,1087,647
3079,My All (Mariah Carey),"NV, Slow (Sx)",Kirk Whalum,Smooth Jazz,2000,235641,48000,,1088,647
3080,Your Smile,"NV, Soul (Gt)",Brian Culbertson,Smooth Jazz,2000,286850,96009,,1089,648
3081,Emerald City,"NV, Soul (P)",Brian Simpson,Smooth Jazz,2000,261903,96010,,1090,619
3082,When I Think Of You,"NV, Soul (Sx)",Everette,Smooth Jazz,2000,371017,96007,,1091,678
3083,Bluffin,O.N.I.F.C.,Wiz Khalifa,Hip-Hop,2012,332669,320000,,366,149
3084,Dental Care,Ocean Eyes,Owl City,Pop,2009,218330,192000,,566,446
3085,Working Day and Night,Off the Wall,Michael Jackson,Pop,1979,313816,320000,,552,443
3086,Astronaut Pssy (feat. Skeme & Schoolboy Q),OKE (Deluxe Edition),The Game,Hip-Hop,2013,303601,320000,,349,275
3087,Helena,Oliver N'goma   Mixed (90's),Oliver N'goma,Rhumba,2001,289787,128000,,1232,2682
3088,Hoodie (Featuring Jay Rock) (Produced By 2fifty3),Ollusion,Omarion,R&B,2010,215222,320000,,861,255
3089,New Skul Tinz (ft Sina Rambo & B-Red),Omo Baba Olowo The Genesis,Davido,Naija,2014,250994,128000,,434,394
3090,"How About It, Gorgeous (Speech)","On Air Live At The Bbc, Vol. 2",The Beatles,Pop,2013,37328,320000,,625,458
3091,Lift Lid Again (Speech),"On Air Live At The Bbc, Vol. 2",The Beatles,Pop,2013,37067,320000,,625,458
3092,Sorrow Is A Woman,On Through The Night,Def Leppard,Indie Folk,1980,235284,128000,,381,287
3093,"You're My Best Friend, My Love",One Day in Your Life,Michael Jackson,Pop,1981,205844,320000,,553,443
3094,Sexy Bitch [Ft. Akon],One Love (Special Edition),David Guetta,Dance,2009,196231,320000,,120,54
3095,Peace Of Mind,One More Story,Peter Cetera,R&B,1988,278648,192000,,865,544
3096,Never Too Late,One-X,Three Day's Grace,Rock,2006,210953,128000,,1068,612
3097,Sex On Fire,Only By The Night,Kings Of Leon,Rock,2008,206027,320000,,1008,593
3098,Only Girl (In The World) (Mixin Marc & Tony Svedja Radio Mix),Only Girl In The World (Remixes),Rihanna,R&B,2010,234893,320000,,886,452
3099,Stay,Open Invitation,Tyrese,R&B,2011,229355,238965,,925,564
3100,Illegal (ft Carlos Santana),"Oral Fixation, Vol. 2",Shakira,Pop,2005,236173,256000,,605,454
3101,Imaginary,Origin (Limited Edition),Evanescence,Rock,2000,210285,128000,,992,589
